symbol,name,country,ipo_year,sector,industry
A,Agilent Technologies Inc. Common Stock,United States,1999,Industrials,Biotechnology: Laboratory Analytical Instruments
AA,Alcoa Corporation Common Stock ,United States,2016,Industrials,Aluminum
AAL,American Airlines Group Inc. Common Stock,United States,,Consumer Discretionary,Air Freight/Delivery Services
AAMI,Acadian Asset Management Inc. Common Stock,United Kingdom,2014,Finance,Investment Managers
AAOI,Applied Optoelectronics Inc. Common Stock,United States,2013,Technology,Semiconductors
AAON,AAON Inc. Common Stock,United States,,Industrials,Industrial Machinery/Components
AAP,Advance Auto Parts Inc.,United States,,Consumer Discretionary,Auto & Home Supply Stores
AAPG,Ascentage Pharma Group International American Depository Shares,China,2025,Health Care,Biotechnology: Pharmaceutical Preparations
AAPL,Apple Inc. Common Stock,United States,1980,Technology,Computer Manufacturing
AAT,American Assets Trust Inc. Common Stock,United States,2011,Real Estate,Real Estate Investment Trusts
AB,AllianceBernstein Holding L.P.  Units,United States,,Finance,Investment Managers
ABBV,AbbVie Inc. Common Stock,United States,2012,Health Care,Biotechnology: Pharmaceutical Preparations
ABCB,Ameris Bancorp Common Stock,United States,1994,Finance,Major Banks
ABCL,AbCellera Biologics Inc. Common Shares,Canada,2020,Health Care,Pharmaceuticals and Biotechnology
ABEV,Ambev S.A. American Depositary Shares (Each representing 1 Common Share),Brazil,2013,Consumer Staples,Beverages (Production/Distribution)
ABG,Asbury Automotive Group Inc Common Stock,United States,2002,Consumer Discretionary,Retail-Auto Dealers and Gas Stations
ABL,Abacus Life Inc. Class A Common Stock,United States,2020,Finance,Investment Managers
ABLLL,Abacus Life Inc. 9.875% Fixed Rate Senior Notes due 2028,United States,,Finance,Investment Managers
ABM,ABM Industries Incorporated Common Stock,United States,,Finance,Diversified Commercial Services
ABNB,Airbnb Inc. Class A Common Stock,United States,2020,Finance,Diversified Commercial Services
ABR,Arbor Realty Trust Common Stock,United States,2004,Real Estate,Real Estate Investment Trusts
ABSI,Absci Corporation Common Stock,United States,2021,Health Care,Biotechnology: Commercial Physical & Biological Resarch
ABT,Abbott Laboratories Common Stock,United States,,Health Care,Biotechnology: Pharmaceutical Preparations
ABUS,Arbutus Biopharma Corporation Common Stock,Canada,,Health Care,Biotechnology: Pharmaceutical Preparations
ABVX,Abivax SA American Depositary Shares,France,2023,Health Care,Biotechnology: Pharmaceutical Preparations
AC,Associated Capital Group Inc. Common Stock,United States,2015,Finance,Investment Bankers/Brokers/Service
ACA,Arcosa Inc. Common Stock ,United States,2018,Industrials,Metal Fabrications
ACAD,ACADIA Pharmaceuticals Inc. Common Stock,United States,1985,Health Care,Biotechnology: Pharmaceutical Preparations
ACCD,Accolade Inc. Common Stock,United States,2020,Consumer Discretionary,Business Services
ACCO,Acco Brands Corporation Common Stock,United States,,Consumer Discretionary,Publishing
ACDC,ProFrac Holding Corp. Class A Common Stock,United States,2022,Energy,Oilfield Services/Equipment
ACEL,Accel Entertainment Inc. ,United States,2017,Consumer Discretionary,Services-Misc. Amusement & Recreation
ACGL,Arch Capital Group Ltd. Common Stock,Bermuda,,Finance,Property-Casualty Insurers
ACGLN,Arch Capital Group Ltd. Depositary Shares each Representing a 1/1000th Interest in a 4.550% Non-Cumulative Preferred Share Series G,Bermuda,,Finance,Property-Casualty Insurers
ACGLO,Arch Capital Group Ltd. Depositary Shares Each Representing 1/1000th Interest in a Share of 5.45% Non-Cumulative Preferred Shares Series F,Bermuda,,Finance,Property-Casualty Insurers
ACHC,Acadia Healthcare Company Inc. Common Stock,United States,,Health Care,Medical Specialities
ACHR,Archer Aviation Inc. Class A Common Stock,United States,2020,Industrials,Aerospace
ACI,Albertsons Companies Inc. Class A Common Stock,United States,2020,Consumer Staples,Food Chains
ACIC,American Coastal Insurance Corporation Common Stock,United States,,Finance,Property-Casualty Insurers
ACIW,ACI Worldwide Inc. Common Stock,United States,,Technology,Computer Software: Prepackaged Software
ACLS,Axcelis Technologies Inc. Common Stock,United States,2000,Technology,Industrial Machinery/Components
ACLX,Arcellx Inc. Common Stock,United States,2022,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ACM,AECOM Common Stock,United States,2007,Consumer Discretionary,Military/Government/Technical
ACMR,ACM Research Inc. Class A Common Stock,United States,2017,Technology,Industrial Machinery/Components
ACN,Accenture plc Class A Ordinary Shares (Ireland),Ireland,2001,Consumer Discretionary,Business Services
ACNB,ACNB Corporation Common Stock,United States,,Finance,Major Banks
ACT,Enact Holdings Inc. Common Stock,United States,2021,Finance,Specialty Insurers
ACTG,Acacia Research Corporation (Acacia Tech) Common Stock,United States,,Miscellaneous,Multi-Sector Companies
ACVA,ACV Auctions Inc. Class A Common Stock,United States,2021,Consumer Discretionary,Business Services
ADBE,Adobe Inc. Common Stock,United States,1986,Technology,Computer Software: Prepackaged Software
ADC,Agree Realty Corporation Common Stock,United States,,Real Estate,Real Estate Investment Trusts
ADEA,Adeia Inc. Common Stock,United States,2003,Technology,Computer Software: Prepackaged Software
ADI,Analog Devices Inc. Common Stock,United States,,Technology,Semiconductors
ADM,Archer-Daniels-Midland Company Common Stock,United States,,Consumer Staples,Packaged Foods
ADMA,ADMA Biologics Inc Common Stock,United States,,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ADNT,Adient plc Ordinary Shares ,United States,2016,Consumer Discretionary,Auto Parts:O.E.M.
ADP,Automatic Data Processing Inc. Common Stock,United States,,Technology,EDP Services
ADPT,Adaptive Biotechnologies Corporation Common Stock,United States,2019,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ADSE,ADS-TEC ENERGY PLC Ordinary Shares,Ireland,,Consumer Discretionary,Industrial Specialties
ADSK,Autodesk Inc. Common Stock,United States,,Technology,Computer Software: Prepackaged Software
ADT,ADT Inc. Common Stock,United States,2018,Consumer Discretionary,Diversified Commercial Services
ADTN,ADTRAN Holdings Inc. Common Stock,United States,1994,Utilities,Telecommunications Equipment
ADUS,Addus HomeCare Corporation Common Stock,United States,2009,Health Care,Medical/Nursing Services
ADV,Advantage Solutions Inc. Class A Common Stock,United States,2019,Consumer Discretionary,Business Services
AEE,Ameren Corporation Common Stock,United States,,Utilities,Power Generation
AEF,abrdn Emerging Markets ex-China Fund Inc. Common Stock,United States,,Finance,Finance/Investors Services
AEG,Aegon Ltd. New York Registry Shares,Netherlands,,Finance,Life Insurance
AEIS,Advanced Energy Industries Inc. Common Stock,United States,1995,Technology,Industrial Machinery/Components
AEM,Agnico Eagle Mines Limited Common Stock,Canada,,Basic Materials,Precious Metals
AEO,American Eagle Outfitters Inc. Common Stock,United States,,Consumer Discretionary,Clothing/Shoe/Accessory Stores
AEP,American Electric Power Company Inc. Common Stock,United States,,Utilities,Electric Utilities: Central
AER,AerCap Holdings N.V. Ordinary Shares,Netherlands,2006,Consumer Discretionary,Diversified Commercial Services
AES,The AES Corporation Common Stock,United States,,Utilities,Electric Utilities: Central
AESI,Atlas Energy Solutions Inc. Common Stock,United States,2023,Industrials,Mining & Quarrying of Nonmetallic Minerals (No Fuels)
AFG,American Financial Group Inc. Common Stock,United States,,Finance,Property-Casualty Insurers
AFGB,American Financial Group Inc. 5.875% Subordinated Debentures due 2059,United States,2019,Finance,Property-Casualty Insurers
AFGC,American Financial Group Inc. 5.125% Subordinated Debentures due 2059,United States,2019,Finance,Property-Casualty Insurers
AFGD,American Financial Group Inc. 5.625% Subordinated Debentures due 2060,United States,2020,Finance,Property-Casualty Insurers
AFGE,American Financial Group Inc. 4.500% Subordinated Debentures due 2060,United States,2020,Finance,Property-Casualty Insurers
AFL,AFLAC Incorporated Common Stock,United States,,Finance,Accident &Health Insurance
AFRM,Affirm Holdings Inc. Class A Common Stock,United States,2021,Finance,Finance: Consumer Services
AFYA,Afya Limited Class A Common Shares,Brazil,2019,Real Estate,Other Consumer Services
AG,First Majestic Silver Corp. Ordinary Shares (Canada),Canada,,Basic Materials,Precious Metals
AGCO,AGCO Corporation Common Stock,United States,,Industrials,Industrial Machinery/Components
AGI,Alamos Gold Inc. Class A Common Shares,Canada,2015,Basic Materials,Precious Metals
AGIO,Agios Pharmaceuticals Inc. Common Stock,United States,2013,Health Care,Biotechnology: Pharmaceutical Preparations
AGL,agilon health inc. Common Stock,United States,2021,Health Care,Misc Health and Biotechnology Services
AGM,Federal Agricultural Mortgage Corporation Common Stock,United States,,Finance,Finance Companies
AGNC,AGNC Investment Corp. Common Stock,United States,2008,Real Estate,Real Estate Investment Trusts
AGNCL,AGNC Investment Corp. Depositary Shares Each Representing a 1/1000th Interest in a Share of 7.75% Series G Fixed-Rate Reset Cumulative Redeemable Preferred Stock,United States,,Real Estate,Real Estate Investment Trusts
AGNCM,AGNC Investment Corp. Depositary Shares rep 6.875% Series D Fixed-to-Floating Cumulative Redeemable Preferred Stock,United States,,Real Estate,Real Estate Investment Trusts
AGNCN,AGNC Investment Corp. Depositary Shares Each Representing a 1/1000th Interest in a Share of 7.00% Series C Fixed-To-Floating Rate Cumulative Redeemable Preferred Stock,United States,,Real Estate,Real Estate Investment Trusts
AGNCO,AGNC Investment Corp. Depositary Shares each representing a 1/1000th interest in a share of 6.50% Series E Fixed-to-Floating Cumulative Redeemable Preferred Stock,United States,,Real Estate,Real Estate Investment Trusts
AGNCP,AGNC Investment Corp. Depositary Shares Each Representing a 1/1000th Interest in a Share of 6.125% Series F Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock,United States,,Real Estate,Real Estate Investment Trusts
AGO,Assured Guaranty Ltd. Common Stock,Bermuda,2004,Finance,Property-Casualty Insurers
AGRO,Adecoagro S.A. Common Shares,Luxembourg,2011,Consumer Staples,Farming/Seeds/Milling
AGS,PlayAGS Inc. Common Stock,United States,2018,Consumer Discretionary,Miscellaneous manufacturing industries
AGX,Argan Inc. Common Stock,United States,,Consumer Discretionary,Engineering & Construction
AGYS,Agilysys Inc. Common Stock (DE),United States,,Technology,EDP Services
AHCO,AdaptHealth Corp. Common Stock,United States,2018,Health Care,Medical/Nursing Services
AHG,Akso Health Group ADS,China,2017,Consumer Discretionary,Business Services
AHH,Armada Hoffler Properties Inc. Common Stock,United States,2013,Finance,Real Estate
AHR,American Healthcare REIT Inc. Common Stock,United States,2024,Real Estate,Real Estate Investment Trusts
AI,C3.ai Inc. Class A Common Stock,United States,2020,Technology,Computer Software: Prepackaged Software
AIG,American International Group Inc. New Common Stock,United States,,Finance,Life Insurance
AIN,Albany International Corporation Common Stock,United States,,Consumer Discretionary,Textiles
AIO,Virtus Artificial Intelligence & Technology Opportunities Fund Common Shares of Beneficial Interest,,2019,Finance,Finance/Investors Services
AIOT,PowerFleet Inc. Common Stock,United States,,Telecommunications,Telecommunications Equipment
AIP,Arteris Inc. Common Stock,United States,2021,Technology,Semiconductors
AIR,AAR Corp. Common Stock,United States,,Industrials,Aerospace
AIRJ,AirJoule Technologies Corporation Class A Common Stock,United States,2022,Industrials,Industrial Machinery/Components
AIT,Applied Industrial Technologies Inc. Common Stock,United States,,Consumer Discretionary,Industrial Specialties
AIV,Apartment Investment and Management Company Common Stock,United States,1994,Real Estate,Real Estate Investment Trusts
AIZ,Assurant Inc. Common Stock,United States,2004,Finance,Property-Casualty Insurers
AIZN,Assurant Inc. 5.25% Subordinated Notes due 2061,United States,2020,Finance,Property-Casualty Insurers
AJG,Arthur J. Gallagher & Co. Common Stock,United States,,Finance,Specialty Insurers
AKAM,Akamai Technologies Inc. Common Stock,United States,1999,Consumer Discretionary,Business Services
AKBA,Akebia Therapeutics Inc. Common Stock,United States,2014,Health Care,Biotechnology: Pharmaceutical Preparations
AKR,Acadia Realty Trust Common Stock,United States,,Real Estate,Real Estate Investment Trusts
AKRO,Akero Therapeutics Inc. Common Stock,United States,2019,Health Care,Biotechnology: Pharmaceutical Preparations
AL,Air Lease Corporation Class A Common Stock,United States,2011,Consumer Discretionary,Diversified Commercial Services
ALAB,Astera Labs Inc. Common Stock,United States,2024,Technology,Semiconductors
ALB,Albemarle Corporation Common Stock,United States,,Industrials,Major Chemicals
ALC,Alcon Inc. Ordinary Shares,Switzerland,2019,Health Care,Ophthalmic Goods
ALDX,Aldeyra Therapeutics Inc. Common Stock,United States,2014,Health Care,Biotechnology: Pharmaceutical Preparations
ALE,Allete Inc.,United States,,Utilities,Power Generation
ALEX,Alexander & Baldwin Inc. Common Stock REIT Holding Company,United States,,Real Estate,Real Estate Investment Trusts
ALG,Alamo Group Inc. Common Stock,United States,,Industrials,Industrial Machinery/Components
ALGM,Allegro MicroSystems Inc. Common Stock,United States,2020,Technology,Semiconductors
ALGN,Align Technology Inc. Common Stock,United States,2001,Health Care,Industrial Specialties
ALGT,Allegiant Travel Company Common Stock,United States,2006,Consumer Discretionary,Air Freight/Delivery Services
ALHC,Alignment Healthcare Inc. Common Stock,United States,2021,Health Care,Medical Specialities
ALIT,Alight Inc. Class A Common Stock,United States,2021,Consumer Discretionary,Business Services
ALK,Alaska Air Group Inc. Common Stock,United States,,Consumer Discretionary,Air Freight/Delivery Services
ALKS,Alkermes plc Ordinary Shares,Ireland,1991,Health Care,Biotechnology: Pharmaceutical Preparations
ALKT,Alkami Technology Inc. Common Stock,United States,2021,Technology,Computer Software: Prepackaged Software
ALL,Allstate Corporation (The) Common Stock,United States,,Finance,Property-Casualty Insurers
ALLE,Allegion plc Ordinary Shares,United States,2013,Consumer Discretionary,Diversified Commercial Services
ALLO,Allogene Therapeutics Inc. Common Stock,United States,2018,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ALLY,Ally Financial Inc. Common Stock,United States,2014,Finance,Major Banks
ALNT,Allient Inc. Common Stock,United States,,Industrials,Electrical Products
ALNY,Alnylam Pharmaceuticals Inc. Common Stock,United States,2004,Health Care,Biotechnology: Pharmaceutical Preparations
ALRM,Alarm.com Holdings Inc. Common Stock,United States,2015,Technology,Computer Software: Prepackaged Software
ALRS,Alerus Financial Corporation Common Stock,United States,2019,Finance,Major Banks
ALSN,Allison Transmission Holdings Inc. Common Stock,United States,2012,Consumer Discretionary,Auto Parts:O.E.M.
ALT,Altimmune Inc. Common Stock,United States,,Health Care,Biotechnology: Pharmaceutical Preparations
ALTI,AlTi Global Inc. Class A Common Stock,United States,2021,Finance,Investment Managers
ALTM,Arcadium Lithium plc Ordinary Shares,United States,2024,Industrials,Major Chemicals
ALTR,Altair Engineering Inc. Class A Common Stock,United States,2017,Technology,Computer Software: Prepackaged Software
ALV,Autoliv Inc. Common Stock,Sweden,,Consumer Discretionary,Auto Parts:O.E.M.
ALVO,Alvotech Ordinary Shares,Luxembourg,,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ALVOW,Alvotech Warrant,Luxembourg,,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ALX,Alexander's Inc. Common Stock,United States,,Real Estate,Real Estate Investment Trusts
AM,Antero Midstream Corporation Common Stock,United States,2017,Utilities,Natural Gas Distribution
AMAL,Amalgamated Financial Corp. Common Stock (DE),United States,2018,Finance,Major Banks
AMAT,Applied Materials Inc. Common Stock,United States,1972,Technology,Semiconductors
AMBA,Ambarella Inc. Ordinary Shares,United States,2012,Technology,Semiconductors
AMBC,Ambac Financial Group Inc. Common Stock,United States,,Finance,Property-Casualty Insurers
AMBP,Ardagh Metal Packaging S.A. Ordinary Shares,,,Industrials,Containers/Packaging
AMC,AMC Entertainment Holdings Inc. Class A Common Stock,United States,2013,Consumer Discretionary,Movies/Entertainment
AMCR,Amcor plc Ordinary Shares,,2019,Consumer Discretionary,Miscellaneous manufacturing industries
AMCX,AMC Networks Inc. Class A Common Stock,United States,,Telecommunications,Cable & Other Pay Television Services
AMD,Advanced Micro Devices Inc. Common Stock,United States,,Technology,Semiconductors
AME,AMETEK Inc.,United States,,Industrials,Industrial Machinery/Components
AMED,Amedisys Inc Common Stock,United States,,Health Care,Medical/Nursing Services
AMG,Affiliated Managers Group Inc. Common Stock,United States,,Finance,Investment Managers
AMGN,Amgen Inc. Common Stock,United States,1983,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AMH,American Homes 4 Rent Common Shares of Beneficial Interest,United States,2013,Real Estate,Real Estate Investment Trusts
AMKR,Amkor Technology Inc. Common Stock,United States,1998,Technology,Semiconductors
AMN,AMN Healthcare Services Inc,United States,,Consumer Discretionary,Professional Services
AMP,Ameriprise Financial Inc. Common Stock,United States,,Finance,Investment Managers
AMPH,Amphastar Pharmaceuticals Inc. Common Stock,United States,2014,Health Care,Biotechnology: Pharmaceutical Preparations
AMPL,Amplitude Inc. Class A Common Stock,United States,,Technology,Computer Software: Prepackaged Software
AMPS,Altus Power Inc. Class A Common Stock,United States,2021,Utilities,Electric Utilities: Central
AMR,Alpha Metallurgical Resources Inc. Common Stock,United States,2018,Energy,Coal Mining
AMRC,Ameresco Inc. Class A Common Stock,United States,2010,Consumer Discretionary,Engineering & Construction
AMRK,A-Mark Precious Metals Inc. Common Stock,United States,,Industrials,Other Specialty Stores
AMRX,Amneal Pharmaceuticals Inc. Class A Common Stock,United States,,Health Care,Biotechnology: Pharmaceutical Preparations
AMSC,American Superconductor Corporation Common Stock,United States,1991,Consumer Discretionary,Metal Fabrications
AMSF,AMERISAFE Inc. Common Stock,United States,2005,Finance,Property-Casualty Insurers
AMT,American Tower Corporation (REIT) Common Stock,United States,,Real Estate,Real Estate Investment Trusts
AMTB,Amerant Bancorp Inc. Class A Common Stock,United States,,Finance,Major Banks
AMTM,Amentum Holdings Inc. Common Stock,United States,2024,,
AMWD,American Woodmark Corporation Common Stock,United States,1986,Basic Materials,Forest Products
AMX,America Movil S.A.B. de C.V. American Depositary Shares (each representing the right to receive twenty (20) Series B Shares,Mexico,2023,Telecommunications,Telecommunications Equipment
AMZN,Amazon.com Inc. Common Stock,United States,1997,Consumer Discretionary,Catalog/Specialty Distribution
AN,AutoNation Inc. Common Stock,United States,,Consumer Discretionary,Retail-Auto Dealers and Gas Stations
ANAB,AnaptysBio Inc. Common Stock,United States,2017,Health Care,Biotechnology: Pharmaceutical Preparations
ANDE,Andersons Inc. (The) Common Stock,United States,,Industrials,Farming/Seeds/Milling
ANET,Arista Networks Inc. Common Stock,United States,,Telecommunications,Computer Communications Equipment
ANF,Abercrombie & Fitch Company Common Stock,United States,,Consumer Discretionary,Clothing/Shoe/Accessory Stores
ANGI,Angi Inc. Class A Common Stock,United States,,Consumer Discretionary,Advertising
ANGO,AngioDynamics Inc. Common Stock,United States,2004,Health Care,Medical/Dental Instruments
ANIP,ANI Pharmaceuticals Inc.,United States,,Health Care,Biotechnology: Pharmaceutical Preparations
ANSS,ANSYS Inc. Common Stock,United States,1996,Technology,Computer Software: Prepackaged Software
AON,Aon plc Class A Ordinary Shares (Ireland),United States,,Finance,Specialty Insurers
AORT,Artivion Inc. Common Stock,United States,,Health Care,Medical/Dental Instruments
AOS,A.O. Smith Corporation Common Stock,United States,,Consumer Discretionary,Consumer Electronics/Appliances
AOSL,Alpha and Omega Semiconductor Limited Common Shares,Bermuda,2010,Technology,Semiconductors
APA,APA Corporation Common Stock,United States,,Energy,Oil & Gas Production
APAM,Artisan Partners Asset Management Inc. Class A Common Stock,United States,2013,Finance,Investment Managers
APD,Air Products and Chemicals Inc. Common Stock,United States,,Industrials,Major Chemicals
APEI,American Public Education Inc. Common Stock,United States,2007,Real Estate,Other Consumer Services
APG,APi Group Corporation Common Stock,United States,2020,Consumer Discretionary,Engineering & Construction
APGE,Apogee Therapeutics Inc. Common Stock,United States,2023,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
APH,Amphenol Corporation Common Stock,United States,,Technology,Electrical Products
API,Agora Inc. American Depositary Shares,China,2020,Technology,Computer Software: Prepackaged Software
APLD,Applied Digital Corporation Common Stock,United States,2022,Finance,Finance: Consumer Services
APLE,Apple Hospitality REIT Inc. Common Shares,United States,2015,Real Estate,Real Estate Investment Trusts
APLS,Apellis Pharmaceuticals Inc. Common Stock,United States,2017,Health Care,Biotechnology: Pharmaceutical Preparations
APO,Apollo Global Management Inc. (New) Common Stock,United States,,Finance,Investment Managers
APOG,Apogee Enterprises Inc. Common Stock,United States,,Consumer Discretionary,Auto Parts:O.E.M.
APOS,Apollo Global Management Inc. 7.625% Fixed-Rate Resettable Junior Subordinated Notes due 2053,United States,1987,Finance,Investment Managers
APP,Applovin Corporation Class A Common Stock,United States,2021,Technology,Computer Software: Programming Data Processing
APPF,AppFolio Inc. Class A Common Stock,United States,2015,Technology,Computer Software: Prepackaged Software
APPN,Appian Corporation Class A Common Stock,United States,2017,Technology,Computer Software: Prepackaged Software
APPS,Digital Turbine Inc. Common Stock,United States,,Miscellaneous,Multi-Sector Companies
APTV,Aptiv PLC Ordinary Shares,United Kingdom,,Consumer Discretionary,Auto Parts:O.E.M.
AQN,Algonquin Power & Utilities Corp. Common Shares,United States,2016,Utilities,Electric Utilities: Central
AQNB,Algonquin Power & Utilities Corp. 6.20% Fixed-to-Floating Subordinated Notes Series 2019-A due July 1 2079,United States,2019,Utilities,Electric Utilities: Central
AR,Antero Resources Corporation Common Stock,United States,2013,Energy,Oil & Gas Production
ARBKL,Argo Blockchain plc 8.75% Senior Notes due 2026,United Kingdom,,Finance,Finance: Consumer Services
ARCB,ArcBest Corporation Common Stock,United States,,Industrials,Trucking Freight/Courier Services
ARCC,Ares Capital Corporation Common Stock,United States,2004,Finance,Finance: Consumer Services
ARCO,Arcos Dorados Holdings Inc. Class A Shares,Argentina,2011,Consumer Discretionary,Restaurants
ARCT,Arcturus Therapeutics Holdings Inc. Common Stock,Israel,2013,Health Care,Biotechnology: Pharmaceutical Preparations
ARDC,Ares Dynamic Credit Allocation Fund Inc. Common Shares,United States,2012,Finance,Investment Managers
ARDT,Ardent Health Partners Inc. Common Stock,,2024,Health Care,Hospital/Nursing Management
ARDX,Ardelyx Inc. Common Stock,United States,2014,Health Care,Biotechnology: Pharmaceutical Preparations
ARE,Alexandria Real Estate Equities Inc. Common Stock,United States,,Real Estate,Real Estate Investment Trusts
ARES,Ares Management Corporation Class A Common Stock,United States,2014,Finance,Investment Managers
ARGX,argenx SE American Depositary Shares,Netherlands,2017,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ARHS,Arhaus Inc. Class A Common Stock,United States,2021,Consumer Discretionary,Other Specialty Stores
ARI,Apollo Commercial Real Estate Finance Inc,United States,2009,Real Estate,Real Estate Investment Trusts
ARIS,Aris Water Solutions Inc. Class A Common Stock,United States,2021,Energy,Oilfield Services/Equipment
ARKO,ARKO Corp. Common Stock,United States,,Consumer Staples,Food Chains
ARLO,Arlo Technologies Inc. Common Stock,United States,2018,Consumer Staples,Consumer Electronics/Appliances
ARLP,Alliance Resource Partners L.P. Common Units representing Limited Partners Interests,United States,1999,Energy,Coal Mining
ARM,Arm Holdings plc American Depositary Shares,United Kingdom,2023,Technology,Semiconductors
ARMK,Aramark Common Stock,United States,2013,Consumer Discretionary,Restaurants
ARMN,Aris Mining Corporation Common Shares,,2023,,
AROC,Archrock Inc. Common Stock,United States,,Utilities,Natural Gas Distribution
AROW,Arrow Financial Corporation Common Stock,United States,,Finance,Major Banks
ARQT,Arcutis Biotherapeutics Inc. Common Stock,United States,2020,Health Care,Biotechnology: Pharmaceutical Preparations
ARR,ARMOUR Residential REIT Inc.,United States,,Real Estate,Real Estate Investment Trusts
ARRY,Array Technologies Inc. Common Stock,United States,2020,Consumer Discretionary,Miscellaneous manufacturing industries
ARTNA,Artesian Resources Corporation Class A Common Stock,United States,,Utilities,Water Supply
ARVN,Arvinas Inc. Common Stock,United States,2018,Health Care,Biotechnology: Pharmaceutical Preparations
ARW,Arrow Electronics Inc. Common Stock,United States,,Technology,Electronic Components
ARWR,Arrowhead Pharmaceuticals Inc. Common Stock,United States,,Health Care,Biotechnology: Pharmaceutical Preparations
AS,Amer Sports Inc. Ordinary Shares,,2024,Consumer Discretionary,Apparel
ASA,ASA  Gold and Precious Metals Limited,United States,,Industrials,Precious Metals
ASAN,Asana Inc. Class A Common Stock,United States,2020,Technology,Computer Software: Prepackaged Software
ASB,Associated Banc-Corp Common Stock,United States,,Finance,Major Banks
ASBA,Associated Banc-Corp 6.625% Fixed-Rate Reset Subordinated Notes due 2033,United States,2023,Finance,Major Banks
ASC,Ardmore Shipping Corporation Common Stock,,2013,Consumer Discretionary,Marine Transportation
ASGN,ASGN Incorporated Common Stock,United States,1992,Consumer Discretionary,Professional Services
ASH,Ashland Inc. Common Stock,United States,,Consumer Discretionary,Specialty Chemicals
ASIX,AdvanSix Inc. Common Stock ,United States,2016,Industrials,Major Chemicals
ASLE,AerSale Corporation Common Stock,United States,2019,Consumer Discretionary,Industrial Specialties
ASML,ASML Holding N.V. New York Registry Shares,Netherlands,1995,Technology,Industrial Machinery/Components
ASND,Ascendis Pharma A/S American Depositary Shares,Denmark,2015,Health Care,Biotechnology: Pharmaceutical Preparations
ASO,Academy Sports and Outdoors Inc. Common Stock,United States,2020,Consumer Discretionary,Other Specialty Stores
ASPI,ASP Isotopes Inc. Common Stock,United States,2022,Industrials,Major Chemicals
ASPN,Aspen Aerogels Inc. Common Stock,United States,2014,Consumer Discretionary,RETAIL: Building Materials
ASR,Grupo Aeroportuario del Sureste S.A. de C.V. Common Stock,Mexico,,Consumer Discretionary,Aerospace
ASTE,Astec Industries Inc. Common Stock,United States,1986,Industrials,Construction/Ag Equipment/Trucks
ASTH,Astrana Health Inc. Common Stock,United States,,Consumer Discretionary,Professional Services
ASTL,Algoma Steel Group Inc. Common Shares,Canada,,Industrials,Steel/Iron Ore
ASTS,AST SpaceMobile Inc. Class A Common Stock,United States,2019,Consumer Discretionary,Telecommunications Equipment
ASX,ASE Technology Holding Co. Ltd. American Depositary Shares (each representing Two Common Shares) ,Taiwan,2018,Technology,Semiconductors
ATAT,Atour Lifestyle Holdings Limited American Depositary Shares,China,2022,Consumer Discretionary,Hotels/Resorts
ATCOL,Atlas Corp. 7.125% Notes due 2027,United Kingdom,,Consumer Discretionary,Marine Transportation
ATEC,Alphatec Holdings Inc. Common Stock,United States,2006,Health Care,Medical/Dental Instruments
ATEN,A10 Networks Inc. Common Stock,United States,2014,Telecommunications,Computer Communications Equipment
ATEX,Anterix Inc. Common Stock,United States,2015,Telecommunications,Telecommunications Equipment
ATGE,Adtalem Global Education Inc. Common Stock,United States,,Real Estate,Other Consumer Services
ATGL,Alpha Technology Group Limited Class A Ordinary Shares,China,2023,Technology,EDP Services
ATHM,Autohome Inc. American Depositary Shares each representing four class A ordinary shares.,China,2013,Technology,EDP Services
ATHS,Athene Holding Ltd. 7.250% Fixed-Rate Reset Junior Subordinated Debentures due 2064,Bermuda,2024,,
ATI,ATI Inc. Common Stock,United States,,Industrials,Steel/Iron Ore
ATKR,Atkore Inc. Common Stock,United States,2016,Miscellaneous,Industrial Machinery/Components
ATLC,Atlanticus Holdings Corporation Common Stock,United States,1995,Finance,Finance: Consumer Services
ATLCL,Atlanticus Holdings Corporation 6.125% Senior Notes due 2026,United States,,Finance,Finance: Consumer Services
ATLCP,Atlanticus Holdings Corporation 7.625% Series B Cumulative Perpetual Preferred Stock no par value per share,United States,,Finance,Finance: Consumer Services
ATLCZ,Atlanticus Holdings Corporation 9.25% Senior Notes due 2029,United States,,Finance,Finance: Consumer Services
ATMU,Atmus Filtration Technologies Inc. Common Stock,United States,2023,Consumer Discretionary,Auto Parts:O.E.M.
ATO,Atmos Energy Corporation Common Stock,United States,,Utilities,Oil/Gas Transmission
ATR,AptarGroup Inc. Common Stock,United States,,Industrials,Plastic Products
ATRC,AtriCure Inc. Common Stock,United States,2005,Health Care,Medical/Dental Instruments
ATRO,Astronics Corporation Common Stock,United States,,Industrials,Military/Government/Technical
ATS,ATS Corporation Common Shares,Canada,2023,Industrials,Industrial Machinery/Components
ATSG,Air Transport Services Group Inc,United States,,Consumer Discretionary,Air Freight/Delivery Services
